# bin/sample/seed/knobs.tsv — the generator's tunables. KEY <TAB> VALUE.
# Dates are ISO. ONE window since 2026-09-11 (one repo = one environment; the
# former acc_/prd_ pairs are merged: the longer acceptance window, both
# environments' accent days).
start	2026-06-23
days	68
# volume scale: multiplies every flow's files/day mean
scale	1.0
# UC2 staging retention window (days) before the File Maintenance sweep
retention_lo	10
retention_hi	12
# calendar accents: spike days (x2-3 volume) and the retry-storm days
spikes	2026-07-23 2026-08-12 2026-08-18
storms	2026-07-06 2026-08-05
# weekend volume factor
weekend_factor	0.25
