AB-SCAN-MONARCH	AB_SCAN_MONARCH
APS-VIDA-UMBRELLA	APS_VIDA_UMBRELLA
CB-ISOLATED-SOYLENT	CB_ISOLATED_SOYLENT
CB-ISOLATED-SOYLENT2	CB_ISOLATED_SOYLENT2
CB-VIDA-WAYNE	CB_VIDA_WAYNE
CD-INVOICE-VANDELAY	CD_INVOICE_VANDELAY
CD-ZIBA-GEKKO	CD_ZIBA_GEKKO
CDV-KRP-TDI-WONKA	CDV_KRP-TDI_WONKA
DPL-POLIS-TYRELL	DPL_POLIS_TYRELL
DPL-RENSEI-SOYLENT	DPL_RENSEI_SOYLENT
FS-IFRS-WAYNE	FS_IFRS_WAYNE
HR-LAKE-BLACKMESA	HR_LAKE_BLACKMESA
IT-ARCHIVE-ZORG	IT_ARCHIVE_ZORG
IT-EKDSI-CYBERDYNE	IT_EKDSI_CYBERDYNE
IT-MAIA-SOYLENT	IT_MAIA_SOYLENT
IT-TDRS-BLUTH	IT_TDRS_BLUTH
SI-VPS-VDN	SI_VPS_VDN
WA-SENSOR-STARK	WA_SENSOR_STARK
ZG-BULK-DUNDER	ZG_BULK_DUNDER
