192.0.2.77	filetransfer.acme.example
198.51.100.10	sftp.globex.example
198.51.100.11	sftp.globex.example
198.51.100.12	sftp.globex.example
198.51.100.13	sftp.globex.example
198.51.100.20	files.initech.example
198.51.100.21	files.initech.example
198.51.100.22	files.initech.example
198.51.100.30	mft.umbrella.example
198.51.100.31	mft.umbrella.example
198.51.100.32	mft.umbrella.example
198.51.100.33	mft.umbrella.example
198.51.100.40	transfer.hooli.example
198.51.100.41	transfer.hooli.example
198.51.100.50	sftp.stark.example
198.51.100.51	sftp.stark.example
198.51.100.52	sftp.stark.example
198.51.100.80	sftp.wonka.example
198.51.100.81	sftp.wonka.example
198.51.100.82	sftp.wonka.example
198.51.100.83	sftp.wonka.example
203.0.113.10	feeds.soylent.example
203.0.113.11	feeds.soylent.example
203.0.113.12	feeds.soylent.example
203.0.113.20	sftp.cyberdyne.example
203.0.113.21	sftp.cyberdyne.example
203.0.113.22	sftp.cyberdyne.example
203.0.113.23	sftp.cyberdyne.example
203.0.113.40	docs.bluth.example
203.0.113.41	docs.bluth.example
203.0.113.60	sftp.sabre.example
203.0.113.61	sftp.sabre.example
203.0.113.110	trades.gekko.example
203.0.113.111	trades.gekko.example
203.0.113.112	trades.gekko.example
203.0.113.130	sftp.zorg.example
203.0.113.131	sftp.zorg.example
203.0.113.140	wings.monarch.example
203.0.113.141	wings.monarch.example
