Status, Account, Login, UserClass, UserType, Application, Transfer Site, Direction, Action By, File, Remote Partner, Transfer Profile, Transfer Content Type, Remote Folder, Local Filename, Local Folder, ICAP Details, Local File, Size, Protocol, Secure, Mode, Start Time, End Time, Duration, Remote Host, Remote Port, Proxy Host, Transfer ID, Session ID, Session Start Time, Operation Index, Pesit Message, CoreId, Resubmitted, Additional info, X-Forwarded-For, SecurityParameters, Server Name, Alternated Addresses, Server Address
"Failed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeIT_TDRS_BLUTH_20260818082985_881590.dat","UNKNOWN","IT_TDRS_BLUTH","FILE","/","AcmeIT_TDRS_BLUTH_20260818082985_881590.dat","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeIT_TDRS_BLUTH_20260818082985_881590.dat",0,"pesit","true","BINARY","08/18/2026 23:57:16.573","08/18/2026 23:58:14.624","58.051 s","192.0.2.20","17627","UNKNOWN","6fa47f5a-1bd9-4442-8ad5-4d883755b1cd","7274383645704549344c7767796d6c44485577755777645a31575642667756307036475966454d6c5275713d","08/18/2026 23:57:15.078","UNKNOWN","UNKNOWN","340a8149-1441-4d02-b9a7-e68d5624765d","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeAIM_LAKE_PIEDPIPER_20260818085779_200505.xml","UNKNOWN","AIM_LAKE_PIEDPIPER","FILE","/","AcmeAIM_LAKE_PIEDPIPER_20260818085779_200505.xml","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeAIM_LAKE_PIEDPIPER_20260818085779_200505.xml",134242,"pesit","true","BINARY","08/18/2026 23:49:45.355","08/18/2026 23:49:45.926","571 ms","192.0.2.20","17627","UNKNOWN","097b7a7a-0ad6-4a43-85ef-0a429234a216","2b535079792b4e6c2b427148775a2f487744355a32394156586e514a556b4f58754b424e61734f7a67427a3d","08/18/2026 23:49:43.250","UNKNOWN","UNKNOWN","f2c85a8f-91bb-4c67-9799-6441fdc2db3a","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeAPS_COSMOS_GLOBEX_20260818085653_664918.dat","UNKNOWN","APS_COSMOS_GLOBEX","FILE","/","AcmeAPS_COSMOS_GLOBEX_20260818085653_664918.dat","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeAPS_COSMOS_GLOBEX_20260818085653_664918.dat",174310,"pesit","true","BINARY","08/18/2026 23:49:40.241","08/18/2026 23:49:40.942","701 ms","192.0.2.20","17627","UNKNOWN","1b04c486-631b-481c-b77a-d0d7ea0515d3","6b715138647a6432383462442b3743512b4a635244575a476d58776f54656d6e70764a4277686c52542b783d","08/18/2026 23:49:38.703","UNKNOWN","UNKNOWN","52b2540b-bc65-4c51-9bba-fa2de0c5a635","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","AIM-LAKE-PIEDPIPER@FE437666","FE437666","VirtClass","Virtual","FlowManagerApplication","UC4_AIM_LAKE_PIEDPIPER_SCP_AIM_LAKE_PIEDPIPER_KEY","Inbound","User","AcmeAIM_LAKE_PIEDPIPER_20260818085779_200505.xml","UNKNOWN","UNKNOWN","FILE","Upload/","AcmeAIM_LAKE_PIEDPIPER_20260818085779_200505.xml","/","ALLOWED;ICAP server Name: acme-av;ICAP server URL: icap://av.mft.acme.example:1344/AVSCAN;Duration of Scanning: 60 ms;ICAP Status: 204 No Modifications Needed;Result of Scanning: ALLOW;ResultMessage: Transfer ALLOWED. ICAP status: 204 No Modifications Needed;Custom Headers: None#","/data/FlowManager/AIM-LAKE-PIEDPIPER@FE437666/AcmeAIM_LAKE_PIEDPIPER_20260818085779_200505.xml",134242,"ssh","true","BINARY","08/18/2026 23:49:39.477","08/18/2026 23:49:44.393","4.916 s","198.51.100.110","22","UNKNOWN","81e11978-42d3-44b4-ae24-a1e77ca97982","59586f346558624456536a32766242683157577742796a4b546d734f5a4c75374e423645496e4d75716a513d","08/18/2026 23:49:38.621","UNKNOWN","UNKNOWN","f2c85a8f-91bb-4c67-9799-6441fdc2db3a","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: curve25519-sha256, Public Key: rsa-sha2-256.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","APS-COSMOS-GLOBEX@FE847938","FE847938","VirtClass","Virtual","FlowManagerApplication","UC4_APS_COSMOS_GLOBEX_SCP_APS_COSMOS_GLOBEX_KEY","Inbound","User","AcmeAPS_COSMOS_GLOBEX_20260818085653_664918.dat","UNKNOWN","UNKNOWN","FILE","Upload/","AcmeAPS_COSMOS_GLOBEX_20260818085653_664918.dat","/","ALLOWED;ICAP server Name: acme-av;ICAP server URL: icap://av.mft.acme.example:1344/AVSCAN;Duration of Scanning: 56 ms;ICAP Status: 204 No Modifications Needed;Result of Scanning: ALLOW;ResultMessage: Transfer ALLOWED. ICAP status: 204 No Modifications Needed;Custom Headers: None#","/data/FlowManager/APS-COSMOS-GLOBEX@FE847938/AcmeAPS_COSMOS_GLOBEX_20260818085653_664918.dat",174310,"ssh","true","BINARY","08/18/2026 23:47:33.286","08/18/2026 23:47:38.366","5.080 s","198.51.100.12","22","UNKNOWN","7de6a45a-17ee-4209-afe5-b2b7173e201e","313166322b3537696e354c3537314347364e4d73353932446e514a364744754d76452b524454784c2f4d423d","08/18/2026 23:47:32.830","UNKNOWN","UNKNOWN","52b2540b-bc65-4c51-9bba-fa2de0c5a635","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Inbound","Server","monitor_20260818_233000.txt","UNKNOWN","INFRA-MONITOR-UC2","FILE","Upload/","monitor_20260818_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260818_233000.txt",16,"routing","true","BINARY","08/18/2026 23:46:39.231","08/18/2026 23:46:39.482","251 ms","UNKNOWN","UNKNOWN","UNKNOWN","4a4fa66b-c6fd-4239-b95e-2ab633c9f83e","726c5738626f6e31697a465672664c56517677694f71537971496a76746f45594f4e47794143396834707a3d","08/18/2026 23:46:30.848","UNKNOWN","UNKNOWN","351e6bb1-3c62-449a-b57a-7cb70faa6903","false","UNKNOWN","UNKNOWN","null",UNKNOWN,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Outbound","Server","monitor_20260818_233000.txt","UNKNOWN","INFRA-MONITOR-UC2","FILE","/","monitor_20260818_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260818_233000.txt",16,"routing","true","BINARY","08/18/2026 23:46:38.619","08/18/2026 23:46:38.798","179 ms","UNKNOWN","UNKNOWN","UNKNOWN","a9905c65-f180-43fb-9856-820d45f656f1","726c5738626f6e31697a465672664c56517677694f71537971496a76746f45594f4e47794143396834707a3d","08/18/2026 23:46:27.164","UNKNOWN","UNKNOWN","351e6bb1-3c62-449a-b57a-7cb70faa6903","false","UNKNOWN","UNKNOWN","null",UNKNOWN,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Inbound","User","INFRA-MONITOR-UC2","UNKNOWN","INFRA-MONITOR-UC2","FILE","Upload/","monitor_20260818_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260818_233000.txt",16,"pesit","true","BINARY","08/18/2026 23:46:37.156","08/18/2026 23:46:37.892","736 ms","UNKNOWN","17627","UNKNOWN","235b35c9-4f71-4a0f-910f-6376165e815e","726c5738626f6e31697a465672664c56517677694f71537971496a76746f45594f4e47794143396834707a3d","08/18/2026 23:46:28.336","UNKNOWN","UNKNOWN","351e6bb1-3c62-449a-b57a-7cb70faa6903","false","UNKNOWN","UNKNOWN","null",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC4-INFRA_ST-MONITOR_INFRA","Outbound","Server","monitor_20260818_233000.txt","UNKNOWN","INFRA-MONITOR-UC4","FILE","/","monitor_20260818_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260818_233000.txt",16,"pesit","true","BINARY","08/18/2026 23:45:55.422","08/18/2026 23:45:56.109","687 ms","UNKNOWN","17627","UNKNOWN","3ee00abb-932a-4bda-a139-0ca7d0a67841","73714e77506e39394e66484d45774b34692b676f4c4143593439494b6471687252455058775869576576463d","08/18/2026 23:45:43.973","UNKNOWN","UNKNOWN","75fc0b1f-28be-40f7-a653-38f98c76b565","false","UNKNOWN","UNKNOWN","null",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC4-INFRA_ST-MONITOR_INFRA","Inbound","User","monitor_20260818_233000.txt","UNKNOWN","INFRA-MONITOR-UC4","FILE","Upload/","monitor_20260818_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260818_233000.txt",16,"ssh","true","BINARY","08/18/2026 23:45:48.427","08/18/2026 23:45:54.226","5.799 s","192.0.2.77","22","UNKNOWN","2e8291ca-7521-4d48-a9c0-b6dc66e01bbf","73714e77506e39394e66484d45774b34692b676f4c4143593439494b6471687252455058775869576576463d","08/18/2026 23:45:29.413","UNKNOWN","UNKNOWN","75fc0b1f-28be-40f7-a653-38f98c76b565","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC1-INFRA_ST-MONITOR_INFRA","Outbound","User","monitor_20260818_233000.txt","UNKNOWN","INFRA-MONITOR-UC1","FILE","/","monitor_20260818_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260818_233000.txt",16,"ssh","true","BINARY","08/18/2026 23:45:47.719","08/18/2026 23:45:54.164","6.445 s","filetransfer.acme.example","22","UNKNOWN","5f2ec8d6-7137-4d41-9885-0b1dbe449dbc","435744636b4f613448415753316e67704b676b66472f4e546b62385a45434c4838455562536a5248594b2f3d","08/18/2026 23:45:38.679","UNKNOWN","UNKNOWN","73637221-061b-4e12-ac5e-1bd681e8bdaf","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC1-INFRA_ST-MONITOR_INFRA","Inbound","User","INFRA-MONITOR-UC1","UNKNOWN","INFRA-MONITOR-UC1","FILE","Upload/","monitor_20260818_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260818_233000.txt",16,"pesit","true","BINARY","08/18/2026 23:45:37.245","08/18/2026 23:45:38.341","1.096 s","UNKNOWN","17627","UNKNOWN","37140308-4231-4cd0-808f-0e15c4df2d64","435744636b4f613448415753316e67704b676b66472f4e546b62385a45434c4838455562536a5248594b2f3d","08/18/2026 23:45:22.025","UNKNOWN","UNKNOWN","73637221-061b-4e12-ac5e-1bd681e8bdaf","false","UNKNOWN","UNKNOWN","null",Pesit Default,"UNKNOWN","192.0.2.76"
"Failed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeIT_TDRS_BLUTH_20260818082985_881590.dat","UNKNOWN","IT-TDRS-BLUTH","FILE","/","AcmeIT_TDRS_BLUTH_20260818082985_881590.dat","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeIT_TDRS_BLUTH_20260818082985_881590.dat",0,"pesit","true","BINARY","08/18/2026 23:44:27.638","08/18/2026 23:45:26.008","58.370 s","192.0.2.20","17627","UNKNOWN","82cf10c4-d284-4fd4-83b8-0ff4883ebe9a","7274383645704549344c7767796d6c44485577755777645a31575642667756307036475966454d6c5275713d","08/18/2026 23:44:27.413","UNKNOWN","UNKNOWN","340a8149-1441-4d02-b9a7-e68d5624765d","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeFS_STMT_APERTURE_20260818085185_061566.dat","UNKNOWN","FS_STMT_APERTURE_IN","FILE","/","AcmeFS_STMT_APERTURE_20260818085185_061566.dat","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeFS_STMT_APERTURE_20260818085185_061566.dat",1710303,"pesit","true","BINARY","08/18/2026 23:39:50.018","08/18/2026 23:39:50.462","444 ms","192.0.2.20","17627","UNKNOWN","035f611a-1276-406e-a165-1d61d23c7ad9","6c4a736b63624c453049394d787a66736158374a513266752f77794b4f7837673855687a4f5755457535323d","08/18/2026 23:39:48.613","UNKNOWN","UNKNOWN","a569cb8f-31d5-4bc3-bd87-7ae6aa67803c","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","FS-STMT-APERTURE@FE264343","FE264343","VirtClass","Virtual","FlowManagerApplication","UC4_FS_STMT_APERTURE_IN_SCP_FS_STMT_APERTURE_IN_PWD","Inbound","User","AcmeFS_STMT_APERTURE_20260818085185_061566.dat","UNKNOWN","UNKNOWN","FILE","Upload/","AcmeFS_STMT_APERTURE_20260818085185_061566.dat","/","ALLOWED;ICAP server Name: acme-av;ICAP server URL: icap://av.mft.acme.example:1344/AVSCAN;Duration of Scanning: 108 ms;ICAP Status: 204 No Modifications Needed;Result of Scanning: ALLOW;ResultMessage: Transfer ALLOWED. ICAP status: 204 No Modifications Needed;Custom Headers: None#","/data/FlowManager/FS-STMT-APERTURE@FE264343/AcmeFS_STMT_APERTURE_20260818085185_061566.dat",1710303,"ssh","true","BINARY","08/18/2026 23:39:45.807","08/18/2026 23:39:48.347","2.540 s","203.0.113.92","22","UNKNOWN","cfd2e692-7c60-4936-838d-f26f5ece2691","","08/18/2026 23:39:44.665","UNKNOWN","UNKNOWN","a569cb8f-31d5-4bc3-bd87-7ae6aa67803c","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: curve25519-sha256, Public Key: rsa-sha2-256.",Ssh Default,"UNKNOWN","192.0.2.76"
